2026-04-01 11:34:15:  Start checking... 
2026-04-01 11:40:12: work.drbl.caravan.ru -----------------------------  √
2026-04-01 11:40:15: work.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 11:40:15: wormrbl.imp.ch -----------------------------  √
2026-04-01 11:40:17: xbl.spamhaus.org -----------------------------  √
2026-04-01 11:40:20: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for mail.aioutboundagents.shop: 
Ip: 66.55.64.133 
Tested: 144 
Passed: 136 
Invalid: 5 
Blacklisted: 3 
---------------------------------------------------------------------------------------   
2026-04-01 11:40:22:  Check finished
