2026-03-29 09:59:03:  Start checking... 
2026-03-29 10:04:47: ubl.unsubscore.com -----------------------------  √
2026-03-29 10:04:49: uribl.spameatingmonkey.net -----------------------------  √
2026-03-29 10:04:51: urired.spameatingmonkey.net -----------------------------  √
2026-03-29 10:04:53: virbl.dnsbl.bit.nl -----------------------------  √
2026-03-29 10:04:55: virus.rbl.jp -----------------------------  √
2026-03-29 10:04:57: virus.rbl.msrbl.net -----------------------------  √
2026-03-29 10:05:00: vote.drbl.caravan.ru -----------------------------  √
2026-03-29 10:05:02: vote.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-03-29 10:05:02: web.rbl.msrbl.net -----------------------------  √
2026-03-29 10:05:05: work.drbl.caravan.ru -----------------------------  √
2026-03-29 10:05:07: work.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-03-29 10:05:07: wormrbl.imp.ch -----------------------------  √
2026-03-29 10:05:10: xbl.spamhaus.org -----------------------------  √
2026-03-29 10:05:12: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for mail.aiemail.shop: 
Ip: 66.55.64.133 
Tested: 144 
Passed: 136 
Invalid: 5 
Blacklisted: 3 
---------------------------------------------------------------------------------------   
2026-03-29 10:05:14:  Check finished
